id,identifier,species_id,height,weight,base_experience,order,is_default
309,electrike,309,6,152,59,400,1
310,manectric,310,15,402,166,401,1
311,plusle,311,4,42,142,403,1
312,minun,312,4,42,142,404,1
313,volbeat,313,7,177,151,405,1
314,illumise,314,6,177,151,406,1
315,roselia,315,3,20,140,408,1
316,gulpin,316,4,103,60,410,1
317,swalot,317,17,800,163,411,1
318,carvanha,318,8,208,61,412,1
319,sharpedo,319,18,888,161,413,1
320,wailmer,320,20,1300,80,415,1
321,wailord,321,145,3980,175,416,1
322,numel,322,7,240,61,417,1
323,camerupt,323,19,2200,161,418,1
324,torkoal,324,5,804,165,420,1
325,spoink,325,7,306,66,421,1
326,grumpig,326,9,715,165,422,1
327,spinda,327,11,50,126,423,1
328,trapinch,328,7,150,58,424,1
329,vibrava,329,11,153,119,425,1
330,flygon,330,20,820,234,426,1
331,cacnea,331,4,513,67,427,1
332,cacturne,332,13,774,166,428,1
333,swablu,333,4,12,62,429,1
334,altaria,334,11,206,172,430,1
335,zangoose,335,13,403,160,432,1
336,seviper,336,27,525,160,433,1
337,lunatone,337,10,1680,161,434,1
338,solrock,338,12,1540,161,435,1
339,barboach,339,4,19,58,436,1
340,whiscash,340,9,236,164,437,1
341,corphish,341,6,115,62,438,1
342,crawdaunt,342,11,328,164,439,1
343,baltoy,343,5,215,60,440,1
344,claydol,344,15,1080,175,441,1
345,lileep,345,10,238,71,442,1
346,cradily,346,15,604,173,443,1
347,anorith,347,7,125,71,444,1
348,armaldo,348,15,682,173,445,1
349,feebas,349,6,74,40,446,1
350,milotic,350,62,1620,189,447,1
351,castform,351,3,8,147,448,1
352,kecleon,352,10,220,154,452,1
353,shuppet,353,6,23,59,453,1
354,banette,354,11,125,159,454,1
355,duskull,355,8,150,59,456,1
356,dusclops,356,16,306,159,457,1
357,tropius,357,20,1000,161,459,1
358,chimecho,358,6,10,159,461,1
359,absol,359,12,470,163,462,1
360,wynaut,360,6,140,52,285,1
361,snorunt,361,7,168,60,464,1
362,glalie,362,15,2565,168,465,1
363,spheal,363,8,395,58,468,1
364,sealeo,364,11,876,144,469,1
365,walrein,365,14,1506,239,470,1
366,clamperl,366,4,525,69,471,1
367,huntail,367,17,270,170,472,1
368,gorebyss,368,18,226,170,473,1
369,relicanth,369,10,234,170,474,1
370,luvdisc,370,6,87,116,475,1
371,bagon,371,6,421,60,476,1
372,shelgon,372,11,1105,147,477,1
373,salamence,373,15,1026,270,478,1
374,beldum,374,6,952,60,480,1
375,metang,375,12,2025,147,481,1
376,metagross,376,16,5500,270,482,1
377,regirock,377,17,2300,261,484,1
378,regice,378,18,1750,261,485,1
379,registeel,379,19,2050,261,486,1
380,latias,380,14,400,270,487,1
381,latios,381,20,600,270,489,1
382,kyogre,382,45,3520,302,491,1
383,groudon,383,35,9500,302,493,1
384,rayquaza,384,70,2065,306,495,1
385,jirachi,385,3,11,270,497,1
386,deoxys-normal,386,17,608,270,498,1
387,turtwig,387,4,102,64,502,1
388,grotle,388,11,970,142,503,1
389,torterra,389,22,3100,236,504,1
390,chimchar,390,5,62,62,505,1
391,monferno,391,9,220,142,506,1
392,infernape,392,12,550,240,507,1
393,piplup,393,4,52,63,508,1
394,prinplup,394,8,230,142,509,1
395,empoleon,395,17,845,239,510,1
396,starly,396,3,20,49,511,1
397,staravia,397,6,155,119,512,1
398,staraptor,398,12,249,218,513,1
399,bidoof,399,5,200,50,514,1
400,bibarel,400,10,315,144,515,1
401,kricketot,401,3,22,39,516,1
402,kricketune,402,10,255,134,517,1
403,shinx,403,5,95,53,518,1
404,luxio,404,9,305,127,519,1
405,luxray,405,14,420,235,520,1
406,budew,406,2,12,56,407,1
407,roserade,407,9,145,232,409,1
408,cranidos,408,9,315,70,521,1
409,rampardos,409,16,1025,173,522,1
410,shieldon,410,5,570,70,523,1
411,bastiodon,411,13,1495,173,524,1
412,burmy,412,2,34,45,525,1
413,wormadam-plant,413,5,65,148,526,1
414,mothim,414,9,233,148,529,1
415,combee,415,3,55,49,530,1
416,vespiquen,416,12,385,166,531,1
417,pachirisu,417,4,39,142,532,1
418,buizel,418,7,295,66,533,1
419,floatzel,419,11,335,173,534,1
420,cherubi,420,4,33,55,535,1
421,cherrim,421,5,93,158,536,1
422,shellos,422,3,63,65,537,1
423,gastrodon,423,9,299,166,538,1
424,ambipom,424,12,203,169,273,1
425,drifloon,425,4,12,70,539,1
426,drifblim,426,12,150,174,540,1
427,buneary,427,4,55,70,541,1
428,lopunny,428,12,333,168,542,1
429,mismagius,429,9,44,173,283,1
430,honchkrow,430,9,273,177,281,1
431,glameow,431,5,39,62,544,1
432,purugly,432,10,438,158,545,1
433,chingling,433,2,6,57,460,1
434,stunky,434,4,192,66,546,1
435,skuntank,435,10,380,168,547,1
436,bronzor,436,5,605,60,548,1
437,bronzong,437,13,1870,175,549,1
438,bonsly,438,5,150,58,267,1
439,mime-jr,439,6,130,62,184,1
440,happiny,440,6,244,110,170,1
441,chatot,441,5,19,144,550,1
442,spiritomb,442,10,1080,170,551,1
443,gible,443,7,205,60,552,1
444,gabite,444,14,560,144,553,1
445,garchomp,445,19,950,270,554,1
446,munchlax,446,6,1050,78,224,1
447,riolu,447,7,202,57,556,1
448,lucario,448,12,540,184,557,1
449,hippopotas,449,8,495,66,559,1
450,hippowdon,450,20,3000,184,560,1
451,skorupi,451,8,120,66,561,1
452,drapion,452,13,615,175,562,1
453,croagunk,453,7,230,60,563,1
454,toxicroak,454,13,444,172,564,1
455,carnivine,455,14,270,159,565,1
456,finneon,456,4,70,66,566,1
457,lumineon,457,12,240,161,567,1
458,mantyke,458,10,650,69,312,1
459,snover,459,10,505,67,568,1
460,abomasnow,460,22,1355,173,569,1
461,weavile,461,11,340,179,300,1
462,magnezone,462,12,1800,241,127,1
463,lickilicky,463,17,1400,180,164,1
464,rhyperior,464,24,2828,241,169,1
465,tangrowth,465,20,1286,187,174,1
466,electivire,466,18,1386,243,193,1
467,magmortar,467,16,680,243,196,1
468,togekiss,468,15,380,245,257,1
469,yanmega,469,19,515,180,277,1
470,leafeon,470,10,255,184,212,1
471,glaceon,471,8,259,184,213,1
472,gliscor,472,20,425,179,292,1
473,mamoswine,473,25,2910,239,307,1
474,porygon-z,474,9,340,241,217,1
475,gallade,475,16,520,233,368,1
476,probopass,476,14,3400,184,386,1
477,dusknoir,477,22,1066,236,458,1
478,froslass,478,13,266,168,467,1
479,rotom,479,3,3,154,571,1
480,uxie,480,3,3,261,577,1
481,mesprit,481,3,3,261,578,1
482,azelf,482,3,3,261,579,1
483,dialga,483,54,6830,306,580,1
484,palkia,484,42,3360,306,581,1
485,heatran,485,17,4300,270,582,1
486,regigigas,486,37,4200,302,583,1
487,giratina-altered,487,45,7500,306,584,1
488,cresselia,488,15,856,270,586,1
489,phione,489,4,31,216,587,1
490,manaphy,490,3,14,270,588,1
491,darkrai,491,15,505,270,589,1
492,shaymin-land,492,2,21,270,590,1
493,arceus,493,32,3200,324,592,1
494,victini,494,4,40,270,593,1
495,snivy,495,6,81,62,594,1
496,servine,496,8,160,145,595,1
497,serperior,497,33,630,238,596,1
498,tepig,498,5,99,62,597,1
499,pignite,499,10,555,146,598,1
500,emboar,500,16,1500,238,599,1
501,oshawott,501,5,59,62,600,1
502,dewott,502,8,245,145,601,1
503,samurott,503,15,946,238,602,1
504,patrat,504,5,116,51,603,1
505,watchog,505,11,270,147,604,1
506,lillipup,506,4,41,55,605,1
507,herdier,507,9,147,130,606,1
508,stoutland,508,12,610,225,607,1
509,purrloin,509,4,101,56,608,1
510,liepard,510,11,375,156,609,1
511,pansage,511,6,105,63,610,1
512,simisage,512,11,305,174,611,1
513,pansear,513,6,110,63,612,1
514,simisear,514,10,280,174,613,1
515,panpour,515,6,135,63,614,1
516,simipour,516,10,290,174,615,1
517,munna,517,6,233,58,616,1
518,musharna,518,11,605,170,617,1
519,pidove,519,3,21,53,618,1
520,tranquill,520,6,150,125,619,1
521,unfezant,521,12,290,220,620,1
522,blitzle,522,8,298,59,621,1
523,zebstrika,523,16,795,174,622,1
524,roggenrola,524,4,180,56,623,1
525,boldore,525,9,1020,137,624,1
526,gigalith,526,17,2600,232,625,1
527,woobat,527,4,21,65,626,1
528,swoobat,528,9,105,149,627,1
529,drilbur,529,3,85,66,628,1
530,excadrill,530,7,404,178,629,1
531,audino,531,11,310,390,630,1
532,timburr,532,6,125,61,632,1
533,gurdurr,533,12,400,142,633,1
534,conkeldurr,534,14,870,227,634,1
535,tympole,535,5,45,59,635,1
536,palpitoad,536,8,170,134,636,1
537,seismitoad,537,15,620,229,637,1
538,throh,538,13,555,163,638,1
539,sawk,539,14,510,163,639,1
540,sewaddle,540,3,25,62,640,1
541,swadloon,541,5,73,133,641,1
542,leavanny,542,12,205,225,642,1
543,venipede,543,4,53,52,643,1
544,whirlipede,544,12,585,126,644,1
545,scolipede,545,25,2005,218,645,1
546,cottonee,546,3,6,56,646,1
547,whimsicott,547,7,66,168,647,1
548,petilil,548,5,66,56,648,1
549,lilligant,549,11,163,168,649,1
550,basculin-red-striped,550,10,180,161,650,1
551,sandile,551,7,152,58,652,1
552,krokorok,552,10,334,123,653,1
553,krookodile,553,15,963,234,654,1
554,darumaka,554,6,375,63,655,1
555,darmanitan-standard,555,13,929,168,656,1
556,maractus,556,10,280,161,658,1
557,dwebble,557,3,145,65,659,1
558,crustle,558,14,2000,170,660,1
559,scraggy,559,6,118,70,661,1
560,scrafty,560,11,300,171,662,1
561,sigilyph,561,14,140,172,663,1
562,yamask,562,5,15,61,664,1
563,cofagrigus,563,17,765,169,665,1
564,tirtouga,564,7,165,71,666,1
565,carracosta,565,12,810,173,667,1
566,archen,566,5,95,71,668,1
567,archeops,567,14,320,177,669,1
568,trubbish,568,6,310,66,670,1
569,garbodor,569,19,1073,166,671,1
570,zorua,570,7,125,66,672,1
571,zoroark,571,16,811,179,673,1
572,minccino,572,4,58,60,674,1
573,cinccino,573,5,75,165,675,1
574,gothita,574,4,58,58,676,1
575,gothorita,575,7,180,137,677,1
576,gothitelle,576,15,440,221,678,1
577,solosis,577,3,10,58,679,1
578,duosion,578,6,80,130,680,1
579,reuniclus,579,10,201,221,681,1
580,ducklett,580,5,55,61,682,1
581,swanna,581,13,242,166,683,1
582,vanillite,582,4,57,61,684,1
583,vanillish,583,11,410,138,685,1
584,vanilluxe,584,13,575,241,686,1
585,deerling,585,6,195,67,687,1
586,sawsbuck,586,19,925,166,688,1
587,emolga,587,4,50,150,689,1
588,karrablast,588,5,59,63,690,1
589,escavalier,589,10,330,173,691,1
590,foongus,590,2,10,59,692,1
591,amoonguss,591,6,105,162,693,1
592,frillish,592,12,330,67,694,1
593,jellicent,593,22,1350,168,695,1
594,alomomola,594,12,316,165,696,1
595,joltik,595,1,6,64,697,1
596,galvantula,596,8,143,165,698,1
597,ferroseed,597,6,188,61,699,1
598,ferrothorn,598,10,1100,171,700,1
599,klink,599,3,210,60,701,1
600,klang,600,6,510,154,702,1
601,klinklang,601,6,810,234,703,1
602,tynamo,602,2,3,55,704,1
603,eelektrik,603,12,220,142,705,1
604,eelektross,604,21,805,232,706,1
605,elgyem,605,5,90,67,707,1
606,beheeyem,606,10,345,170,708,1
607,litwick,607,3,31,55,709,1
608,lampent,608,6,130,130,710,1
609,chandelure,609,10,343,234,711,1
610,axew,610,6,180,64,712,1
611,fraxure,611,10,360,144,713,1
612,haxorus,612,18,1055,243,714,1
613,cubchoo,613,5,85,61,715,1
614,beartic,614,26,2600,177,716,1
615,cryogonal,615,11,1480,180,717,1
616,shelmet,616,4,77,61,718,1
617,accelgor,617,8,253,173,719,1
618,stunfisk,618,7,110,165,720,1
619,mienfoo,619,9,200,70,721,1
620,mienshao,620,14,355,179,722,1
621,druddigon,621,16,1390,170,723,1
622,golett,622,10,920,61,724,1
623,golurk,623,28,3300,169,725,1
624,pawniard,624,5,102,68,726,1
625,bisharp,625,16,700,172,727,1
626,bouffalant,626,16,946,172,728,1
627,rufflet,627,5,105,70,729,1
628,braviary,628,15,410,179,730,1
629,vullaby,629,5,90,74,731,1
630,mandibuzz,630,12,395,179,732,1
631,heatmor,631,14,580,169,733,1
632,durant,632,3,330,169,734,1
633,deino,633,8,173,60,735,1
634,zweilous,634,14,500,147,736,1
635,hydreigon,635,18,1600,270,737,1
636,larvesta,636,11,288,72,738,1
637,volcarona,637,16,460,248,739,1
638,cobalion,638,21,2500,261,740,1
639,terrakion,639,19,2600,261,741,1
640,virizion,640,20,2000,261,742,1
641,tornadus-incarnate,641,15,630,261,743,1
642,thundurus-incarnate,642,15,610,261,745,1
643,reshiram,643,32,3300,306,747,1
644,zekrom,644,29,3450,306,748,1
645,landorus-incarnate,645,15,680,270,749,1
646,kyurem,646,30,3250,297,751,1
647,keldeo-ordinary,647,14,485,261,754,1
648,meloetta-aria,648,6,65,270,756,1
649,genesect,649,15,825,270,758,1
650,chespin,650,4,90,63,759,1
651,quilladin,651,7,290,142,760,1
652,chesnaught,652,16,900,239,761,1
653,fennekin,653,4,94,61,762,1
654,braixen,654,10,145,143,763,1
655,delphox,655,15,390,240,764,1
656,froakie,656,3,70,63,765,1
657,frogadier,657,6,109,142,766,1
658,greninja,658,15,400,239,767,1
659,bunnelby,659,4,50,47,770,1
660,diggersby,660,10,424,148,771,1
661,fletchling,661,3,17,56,772,1
662,fletchinder,662,7,160,134,773,1
663,talonflame,663,12,245,175,774,1
664,scatterbug,664,3,25,40,775,1
665,spewpa,665,3,84,75,776,1
666,vivillon,666,12,170,185,777,1
667,litleo,667,6,135,74,778,1
668,pyroar,668,15,815,177,779,1
669,flabebe,669,1,1,61,780,1
670,floette,670,2,9,130,781,1
671,florges,671,11,100,248,783,1
672,skiddo,672,9,310,70,784,1
673,gogoat,673,17,910,186,785,1
674,pancham,674,6,80,70,786,1
675,pangoro,675,21,1360,173,787,1
676,furfrou,676,12,280,165,788,1
677,espurr,677,3,35,71,789,1
678,meowstic-male,678,6,85,163,790,1
679,honedge,679,8,20,65,792,1
680,doublade,680,8,45,157,793,1
681,aegislash-shield,681,17,530,234,794,1
682,spritzee,682,2,5,68,796,1
683,aromatisse,683,8,155,162,797,1
684,swirlix,684,4,35,68,798,1
685,slurpuff,685,8,50,168,799,1
686,inkay,686,4,35,58,800,1
687,malamar,687,15,470,169,801,1
688,binacle,688,5,310,61,802,1
689,barbaracle,689,13,960,175,803,1
690,skrelp,690,5,73,64,804,1
691,dragalge,691,18,815,173,805,1
692,clauncher,692,5,83,66,806,1
693,clawitzer,693,13,353,100,807,1
694,helioptile,694,5,60,58,808,1
695,heliolisk,695,10,210,168,809,1
696,tyrunt,696,8,260,72,810,1
697,tyrantrum,697,25,2700,182,811,1
698,amaura,698,13,252,72,812,1
699,aurorus,699,27,2250,104,813,1
700,sylveon,700,10,235,184,214,1
701,hawlucha,701,8,215,175,814,1
702,dedenne,702,2,22,151,815,1
703,carbink,703,3,57,100,816,1
704,goomy,704,3,28,60,817,1
705,sliggoo,705,8,175,158,818,1
706,goodra,706,20,1505,270,819,1
707,klefki,707,2,30,165,820,1
708,phantump,708,4,70,62,821,1
709,trevenant,709,15,710,166,822,1
710,pumpkaboo-average,710,4,50,67,823,1
711,gourgeist-average,711,9,125,173,827,1
712,bergmite,712,10,995,61,831,1
713,avalugg,713,20,5050,180,832,1
714,noibat,714,5,80,49,833,1
715,noivern,715,15,850,187,834,1
716,xerneas,716,30,2150,306,835,1
717,yveltal,717,58,2030,306,836,1
718,zygarde,718,50,3050,270,837,1
719,diancie,719,7,88,270,841,1
720,hoopa,720,5,90,270,843,1
721,volcanion,721,17,1950,270,845,1
722,rowlet,722,3,15,64,846,1
723,dartrix,723,7,160,147,847,1
724,decidueye,724,16,366,239,848,1
725,litten,725,4,43,64,849,1
726,torracat,726,7,250,147,850,1
727,incineroar,727,18,830,239,851,1
728,popplio,728,4,75,64,852,1
729,brionne,729,6,175,147,853,1
730,primarina,730,18,440,239,854,1
731,pikipek,731,3,12,53,855,1
732,trumbeak,732,6,148,124,856,1
733,toucannon,733,11,260,218,857,1
734,yungoos,734,4,60,51,858,1
735,gumshoos,735,7,142,146,859,1
736,grubbin,736,4,44,60,861,1
737,charjabug,737,5,105,140,862,1
